UID,Machine failure,Type,Temperature,Tool wear [min],Rotationalspeed
1,0,M,308.6,0,1551
2,0,L,308.7,3,1408
3,0,L,308.5,5,1498
4,0,L,308.6,7,1433
5,0,L,308.7,9,1408
6,0,M,308.6,11,1425
7,0,L,308.6,14,1558
8,0,L,308.6,16,1527
9,0,M,308.7,18,1667
10,0,M,309.0,21,1741
11,0,H,308.9,24,1782
12,0,H,309.1,29,1423
13,0,M,309.1,34,1339
14,0,M,309.2,37,1742
15,0,L,309.2,40,2035
16,0,L,309.2,42,1542
17,0,M,309.2,44,1311
18,0,M,309.2,47,1410
19,0,H,309.2,50,1306
20,0,M,309.3,55,1632
21,0,H,309.3,58,1375
22,0,L,309.3,63,1450
23,0,M,309.3,65,1581
24,0,L,309.4,68,1758
25,0,M,309.4,70,1561
26,0,L,309.5,73,1861
27,0,L,309.5,75,1512
28,0,H,309.4,77,1811
29,0,L,309.4,82,1439
30,0,L,309.4,84,1693
31,0,M,309.5,86,1339
32,0,L,309.4,89,1798
33,0,L,309.4,91,1419
34,0,L,309.3,93,1665
35,0,M,309.1,95,1559
36,0,M,309.2,98,1452
37,0,M,309.2,101,1581
38,0,L,309.1,104,1439
39,0,H,309.2,106,1379
40,0,L,309.1,111,1350
41,0,L,309.1,113,1362
42,0,L,309.1,115,1368
43,0,M,309.1,117,1368
44,0,H,309.2,120,1372
45,0,M,309.1,125,1472
46,0,L,309.1,128,1489
47,0,M,309.0,130,1843
48,0,L,309.1,133,1418
49,0,H,309.2,135,1425
50,0,M,309.2,140,1412
51,1,L,309.1,143,2861
52,0,L,309.1,145,1383
53,0,H,309.0,147,1497
54,0,L,309.0,152,1565
55,0,L,309.0,154,1691
56,0,L,309.1,156,1512
57,0,L,309.1,158,1477
58,0,L,309.1,160,1513
59,0,M,309.0,162,1661
60,0,L,309.1,165,1378
61,0,L,309.1,167,1393
62,0,M,309.0,169,1592
63,0,L,309.0,172,1829
64,0,M,309.0,174,1812
65,0,L,309.1,177,1523
66,0,L,309.1,179,1394
67,0,M,308.9,181,1679
68,0,H,308.9,184,1466
69,0,L,308.9,189,1527
70,1,L,309.0,191,1410
71,0,M,309.0,193,1924
72,0,L,309.1,196,1452
73,0,L,309.1,198,1369
74,0,L,309.1,200,1592
75,0,L,309.0,202,1601
76,0,L,308.9,204,1379
77,0,L,308.9,206,1461
78,1,L,308.9,208,1455
79,0,L,308.9,0,1398
80,0,L,308.9,2,1402
81,0,H,308.8,4,1445
82,0,L,308.9,9,1450
83,0,L,308.9,11,1453
84,0,L,309.0,13,1469
85,0,L,308.9,15,1422
86,0,M,309.0,17,1804
87,0,H,309.0,20,1436
88,0,L,309.0,25,1544
89,0,M,309.0,27,1419
90,0,M,308.9,30,1487
91,0,L,308.9,33,1753
92,0,L,308.9,35,1830
93,0,M,308.9,37,1727
94,0,L,309.0,40,1450
95,0,L,308.9,42,1622
96,0,M,309.0,44,1351
97,0,M,309.0,47,1575
98,0,M,308.9,50,1750
99,0,L,308.8,53,1529
100,0,L,308.8,55,1523
101,0,L,308.9,57,1852
102,0,L,308.8,59,1991
103,0,L,308.8,61,1555
104,0,M,308.8,63,1441
105,0,L,308.7,66,1450
106,0,L,308.7,68,1591
107,0,L,308.7,70,1445
108,0,M,308.8,72,1497
109,0,H,308.8,75,1621
110,0,L,308.7,80,1572
111,0,L,308.6,82,1872
