UID,Machine failure,Type,Temperature,Rotationalspeed,Tool wear [hour]
1,0,M,308.6,1551,0.0
2,0,L,308.7,1408,0.05
3,0,L,308.5,1498,0.08333333333333333
4,0,L,308.6,1433,0.11666666666666667
5,0,L,308.7,1408,0.15
6,0,M,308.6,1425,0.18333333333333332
7,0,L,308.6,1558,0.23333333333333334
8,0,L,308.6,1527,0.26666666666666666
9,0,M,308.7,1667,0.3
10,0,M,309.0,1741,0.35
11,0,H,308.9,1782,0.4
12,0,H,309.1,1423,0.48333333333333334
13,0,M,309.1,1339,0.5666666666666667
14,0,M,309.2,1742,0.6166666666666667
15,0,L,309.2,2035,0.6666666666666666
16,0,L,309.2,1542,0.7
17,0,M,309.2,1311,0.7333333333333333
18,0,M,309.2,1410,0.7833333333333333
19,0,H,309.2,1306,0.8333333333333334
20,0,M,309.3,1632,0.9166666666666666
21,0,H,309.3,1375,0.9666666666666667
22,0,L,309.3,1450,1.05
23,0,M,309.3,1581,1.0833333333333333
24,0,L,309.4,1758,1.1333333333333333
25,0,M,309.4,1561,1.1666666666666667
26,0,L,309.5,1861,1.2166666666666666
27,0,L,309.5,1512,1.25
28,0,H,309.4,1811,1.2833333333333334
29,0,L,309.4,1439,1.3666666666666667
30,0,L,309.4,1693,1.4
31,0,M,309.5,1339,1.4333333333333333
32,0,L,309.4,1798,1.4833333333333334
33,0,L,309.4,1419,1.5166666666666666
34,0,L,309.3,1665,1.55
35,0,M,309.1,1559,1.5833333333333333
36,0,M,309.2,1452,1.6333333333333333
37,0,M,309.2,1581,1.6833333333333333
38,0,L,309.1,1439,1.7333333333333334
39,0,H,309.2,1379,1.7666666666666666
40,0,L,309.1,1350,1.85
41,0,L,309.1,1362,1.8833333333333333
42,0,L,309.1,1368,1.9166666666666667
43,0,M,309.1,1368,1.95
44,0,H,309.2,1372,2.0
45,0,M,309.1,1472,2.0833333333333335
46,0,L,309.1,1489,2.1333333333333333
47,0,M,309.0,1843,2.1666666666666665
48,0,L,309.1,1418,2.216666666666667
49,0,H,309.2,1425,2.25
50,0,M,309.2,1412,2.3333333333333335
51,1,L,309.1,2861,2.3833333333333333
52,0,L,309.1,1383,2.4166666666666665
53,0,H,309.0,1497,2.45
54,0,L,309.0,1565,2.533333333333333
55,0,L,309.0,1691,2.566666666666667
56,0,L,309.1,1512,2.6
57,0,L,309.1,1477,2.6333333333333333
58,0,L,309.1,1513,2.6666666666666665
59,0,M,309.0,1661,2.7
60,0,L,309.1,1378,2.75
61,0,L,309.1,1393,2.783333333333333
62,0,M,309.0,1592,2.816666666666667
63,0,L,309.0,1829,2.8666666666666667
64,0,M,309.0,1812,2.9
65,0,L,309.1,1523,2.95
66,0,L,309.1,1394,2.9833333333333334
67,0,M,308.9,1679,3.0166666666666666
68,0,H,308.9,1466,3.066666666666667
69,0,L,308.9,1527,3.15
70,1,L,309.0,1410,3.183333333333333
71,0,M,309.0,1924,3.216666666666667
72,0,L,309.1,1452,3.2666666666666666
73,0,L,309.1,1369,3.3
74,0,L,309.1,1592,3.3333333333333335
75,0,L,309.0,1601,3.3666666666666667
76,0,L,308.9,1379,3.4
77,0,L,308.9,1461,3.433333333333333
78,1,L,308.9,1455,3.466666666666667
79,0,L,308.9,1398,0.0
80,0,L,308.9,1402,0.03333333333333333
81,0,H,308.8,1445,0.06666666666666667
82,0,L,308.9,1450,0.15
83,0,L,308.9,1453,0.18333333333333332
84,0,L,309.0,1469,0.21666666666666667
85,0,L,308.9,1422,0.25
86,0,M,309.0,1804,0.2833333333333333
87,0,H,309.0,1436,0.3333333333333333
88,0,L,309.0,1544,0.4166666666666667
89,0,M,309.0,1419,0.45
90,0,M,308.9,1487,0.5
91,0,L,308.9,1753,0.55
92,0,L,308.9,1830,0.5833333333333334
93,0,M,308.9,1727,0.6166666666666667
94,0,L,309.0,1450,0.6666666666666666
95,0,L,308.9,1622,0.7
96,0,M,309.0,1351,0.7333333333333333
97,0,M,309.0,1575,0.7833333333333333
98,0,M,308.9,1750,0.8333333333333334
99,0,L,308.8,1529,0.8833333333333333
100,0,L,308.8,1523,0.9166666666666666
101,0,L,308.9,1852,0.95
102,0,L,308.8,1991,0.9833333333333333
103,0,L,308.8,1555,1.0166666666666666
104,0,M,308.8,1441,1.05
105,0,L,308.7,1450,1.1
106,0,L,308.7,1591,1.1333333333333333
107,0,L,308.7,1445,1.1666666666666667
108,0,M,308.8,1497,1.2
109,0,H,308.8,1621,1.25
110,0,L,308.7,1572,1.3333333333333333
111,0,L,308.6,1872,1.3666666666666667
112,0,H,308.6,1499,1.4
113,0,M,308.7,1498,1.4833333333333334
114,0,M,308.6,1486,1.5333333333333334
115,0,L,308.6,1680,1.5833333333333333
116,0,L,308.6,1431,1.6166666666666667
117,0,L,308.7,1564,1.65
118,0,L,308.6,1599,1.6833333333333333
119,0,M,308.6,1707,1.7166666666666666
120,0,L,308.5,1467,1.7666666666666666
121,0,L,308.7,1433,1.8
122,0,L,308.7,1558,1.8333333333333333
123,0,L,308.8,1310,1.8666666666666667
124,0,L,308.7,1546,1.9
125,0,L,308.7,1727,1.9333333333333333
126,0,L,308.6,1560,1.9666666666666666
127,0,L,308.6,1329,2.0
128,0,L,308.6,1413,2.033333333333333
129,0,L,308.6,1587,2.066666666666667
130,0,L,308.5,1559,2.1
131,0,L,308.4,1473,2.1333333333333333
132,0,L,308.4,1737,2.1666666666666665
133,0,M,308.4,1441,2.2
134,0,M,308.4,1430,2.25
135,0,L,308.4,1369,2.3
136,0,M,308.5,1711,2.3333333333333335
137,0,H,308.5,1420,2.3833333333333333
138,0,L,308.6,1297,2.466666666666667
139,0,H,308.6,1449,2.5
140,0,L,308.6,1268,2.5833333333333335
141,0,L,308.6,1511,2.6166666666666667
142,0,L,308.5,1544,2.65
143,0,M,308.4,1778,2.683333333333333
144,0,H,308.4,1407,2.7333333333333334
145,0,M,308.4,1391,2.816666666666667
146,0,L,308.4,1513,2.8666666666666667
147,0,H,308.4,1612,2.9
148,0,L,308.4,1515,2.9833333333333334
149,0,M,308.3,1379,3.0166666666666666
150,0,L,308.3,1473,3.066666666666667
151,0,L,308.3,1422,3.1
152,0,M,308.2,1463,3.1333333333333333
153,0,M,308.2,1584,3.183333333333333
154,0,L,308.2,1850,3.2333333333333334
155,0,L,308.2,1528,3.2666666666666666
156,0,H,308.2,1987,3.3
157,0,M,308.1,1495,3.3833333333333333
158,0,H,308.2,1478,3.433333333333333
159,0,M,308.2,1499,3.5166666666666666
160,0,L,308.2,1471,3.566666666666667
161,1,L,308.2,1282,3.6
162,1,L,308.1,1412,3.6333333333333333
163,0,L,308.1,1586,0.0
164,0,M,308.2,1468,0.03333333333333333
165,0,M,308.3,1440,0.08333333333333333
166,0,L,308.4,1733,0.13333333333333333
167,0,H,308.2,1612,0.16666666666666666
168,0,H,308.3,1458,0.25
169,1,L,308.3,1433,0.3333333333333333
170,0,L,308.3,1318,0.36666666666666664
171,0,M,308.2,1610,0.4
172,0,L,308.1,1462,0.45
173,0,M,308.0,1924,0.48333333333333334
174,0,M,308.0,1591,0.5333333333333333
175,0,L,308.1,1306,0.5833333333333334
176,0,L,308.1,1382,0.6166666666666667
177,0,L,308.1,1618,0.65
178,0,L,308.2,1988,0.6833333333333333
179,0,L,308.2,1436,0.7166666666666667
180,0,L,308.3,1304,0.75
181,0,L,308.3,1475,0.7833333333333333
182,0,H,308.3,1824,0.8166666666666667
183,0,M,308.2,1342,0.9
184,0,L,308.2,1485,0.95
185,0,L,308.2,1667,0.9833333333333333
186,0,L,308.2,1446,1.0166666666666666
187,0,L,308.3,1301,1.05
188,0,L,308.4,1379,1.0833333333333333
189,0,L,308.5,1606,1.1166666666666667
190,0,M,308.4,1539,1.15
191,0,L,308.4,1477,1.2
192,0,L,308.4,1666,1.2333333333333334
193,0,H,308.4,1398,1.2666666666666666
194,0,H,308.4,1678,1.35
195,1,M,308.5,2678,1.4333333333333333
196,0,L,308.5,1453,1.4833333333333334
197,0,H,308.6,1432,1.5166666666666666
198,0,M,308.6,1527,1.6
199,0,L,308.7,1588,1.65
200,0,L,308.6,1433,1.6833333333333333
201,0,L,308.6,1609,1.7166666666666666
202,0,L,308.5,1575,1.75
203,0,M,308.5,1636,1.7833333333333334
204,0,L,308.5,1490,1.8333333333333333
205,0,L,308.5,1741,1.8666666666666667
206,0,M,308.6,1344,1.9
207,0,L,308.7,1609,1.95
208,1,M,308.7,1421,1.9833333333333334
209,0,L,308.6,1591,2.033333333333333
210,0,L,308.6,1477,2.066666666666667
211,0,L,308.7,1523,2.1
212,0,L,308.7,1575,2.1333333333333333
213,0,H,308.7,1344,2.1666666666666665
214,0,L,308.7,1386,2.25
215,0,M,308.6,1589,2.283333333333333
216,0,L,308.6,1548,2.3333333333333335
217,0,L,308.6,1499,2.3666666666666667
218,0,L,308.5,1664,2.4
219,0,L,308.6,1447,2.433333333333333
220,0,M,308.5,1434,2.466666666666667
221,0,L,308.5,1416,2.5166666666666666
222,0,H,308.5,1827,2.55
223,0,L,308.6,1304,2.6333333333333333
224,0,L,308.6,1569,2.6666666666666665
225,0,L,308.6,1584,2.7
226,0,L,308.5,1362,2.7333333333333334
227,0,L,308.4,1329,2.7666666666666666
228,0,L,308.5,1539,2.8
229,0,M,308.5,1629,2.8333333333333335
230,0,L,308.5,1538,2.8833333333333333
231,0,L,308.6,1570,2.9166666666666665
232,0,L,308.4,1408,2.95
233,0,L,308.4,1424,2.9833333333333334
234,0,L,308.4,1512,3.0166666666666666
235,0,L,308.4,1478,3.05
236,0,M,308.3,1680,3.0833333333333335
237,0,L,308.3,1495,3.1333333333333333
238,0,M,308.1,1552,3.1666666666666665
239,0,L,308.1,1393,3.216666666666667
240,0,L,308.2,1611,3.25
241,0,M,308.1,1339,3.283333333333333
