UID,Temperature,Rotationalspeed,Tool wear [hour],Type_L,Type_M
1,0.3580246913580325,0.22293364377182778,0.0,0.0,1.0
2,0.3703703703703738,0.13969732246798605,0.05,1.0,0.0
3,0.3456790123456841,0.19208381839348088,0.08333333333333333,1.0,0.0
4,0.3580246913580325,0.15424912689173464,0.11666666666666667,1.0,0.0
5,0.3703703703703738,0.13969732246798605,0.15,1.0,0.0
6,0.3580246913580325,0.1495925494761351,0.18333333333333332,0.0,1.0
7,0.3580246913580325,0.2270081490104774,0.23333333333333334,1.0,0.0
8,0.3580246913580325,0.20896391152502913,0.26666666666666666,1.0,0.0
9,0.3703703703703738,0.29045401629802103,0.3,0.0,1.0
10,0.4074074074074119,0.33352735739231665,0.35,0.0,1.0
11,0.3950617283950635,0.35739231664726423,0.4,0.0,0.0
12,0.4197530864197603,0.1484284051222352,0.48333333333333334,0.0,0.0
13,0.4197530864197603,0.09953434225844005,0.5666666666666667,0.0,1.0
14,0.4320987654321016,0.3341094295692667,0.6166666666666667,0.0,1.0
15,0.4320987654321016,0.5046565774155997,0.6666666666666666,1.0,0.0
16,0.4320987654321016,0.2176949941792783,0.7,1.0,0.0
17,0.4320987654321016,0.08323632130384173,0.7333333333333333,0.0,1.0
18,0.4320987654321016,0.14086146682188594,0.7833333333333333,0.0,1.0
19,0.4320987654321016,0.08032596041909201,0.8333333333333334,0.0,0.0
20,0.44444444444444997,0.270081490104773,0.9166666666666666,0.0,1.0
21,0.44444444444444997,0.12048894062863802,0.9666666666666667,0.0,0.0
22,0.44444444444444997,0.1641443538998837,1.05,1.0,0.0
23,0.44444444444444997,0.24039580908032598,1.0833333333333333,0.0,1.0
24,0.45679012345679126,0.3434225844004658,1.1333333333333333,1.0,0.0
25,0.45679012345679126,0.22875436554132722,1.1666666666666667,0.0,1.0
26,0.46913580246913966,0.4033760186263097,1.2166666666666666,1.0,0.0
27,0.46913580246913966,0.20023282887077998,1.25,1.0,0.0
28,0.45679012345679126,0.3742724097788127,1.2833333333333334,0.0,0.0
29,0.45679012345679126,0.1577415599534343,1.3666666666666667,1.0,0.0
30,0.45679012345679126,0.30558789289871946,1.4,1.0,0.0
31,0.46913580246913966,0.09953434225844005,1.4333333333333333,0.0,1.0
32,0.45679012345679126,0.36670547147846333,1.4833333333333334,1.0,0.0
33,0.45679012345679126,0.14610011641443543,1.5166666666666666,1.0,0.0
34,0.44444444444444997,0.28928987194412115,1.55,1.0,0.0
35,0.4197530864197603,0.22759022118742733,1.5833333333333333,0.0,1.0
36,0.4320987654321016,0.16530849825378346,1.6333333333333333,0.0,1.0
37,0.4320987654321016,0.24039580908032598,1.6833333333333333,0.0,1.0
38,0.4197530864197603,0.1577415599534343,1.7333333333333334,1.0,0.0
39,0.4320987654321016,0.1228172293364378,1.7666666666666666,0.0,0.0
40,0.4197530864197603,0.10593713620488943,1.85,1.0,0.0
41,0.4197530864197603,0.11292200232828875,1.8833333333333333,1.0,0.0
42,0.4197530864197603,0.11641443538998841,1.9166666666666667,1.0,0.0
43,0.4197530864197603,0.11641443538998841,1.95,0.0,1.0
44,0.4320987654321016,0.11874272409778819,2.0,0.0,0.0
45,0.4197530864197603,0.17694994179278234,2.0833333333333335,0.0,1.0
46,0.4197530864197603,0.18684516880093138,2.1333333333333333,1.0,0.0
47,0.4074074074074119,0.3928987194412107,2.1666666666666665,0.0,1.0
48,0.4197530864197603,0.1455180442374855,2.216666666666667,1.0,0.0
49,0.4320987654321016,0.1495925494761351,2.25,0.0,0.0
50,0.4320987654321016,0.14202561117578583,2.3333333333333335,0.0,1.0
51,0.4197530864197603,0.9854481955762514,2.3833333333333333,1.0,0.0
52,0.4197530864197603,0.12514551804423757,2.4166666666666665,1.0,0.0
53,0.4074074074074119,0.19150174621653093,2.45,0.0,0.0
54,0.4074074074074119,0.23108265424912688,2.533333333333333,1.0,0.0
55,0.4074074074074119,0.3044237485448196,2.566666666666667,1.0,0.0
56,0.4197530864197603,0.20023282887077998,2.6,1.0,0.0
57,0.4197530864197603,0.17986030267753206,2.6333333333333333,1.0,0.0
58,0.4197530864197603,0.20081490104772992,2.6666666666666665,1.0,0.0
59,0.4074074074074119,0.28696158323632137,2.7,0.0,1.0
60,0.4197530864197603,0.12223515715948785,2.75,1.0,0.0
61,0.4197530864197603,0.130966239813737,2.783333333333333,1.0,0.0
62,0.4074074074074119,0.24679860302677536,2.816666666666667,0.0,1.0
63,0.4074074074074119,0.3847497089639115,2.8666666666666667,1.0,0.0
64,0.4074074074074119,0.37485448195576254,2.9,0.0,1.0
65,0.4197530864197603,0.20663562281722936,2.95,1.0,0.0
66,0.4197530864197603,0.13154831199068684,2.9833333333333334,1.0,0.0
67,0.3950617283950635,0.29743888242142025,3.0166666666666666,0.0,1.0
68,0.3950617283950635,0.17345750873108268,3.066666666666667,0.0,0.0
69,0.3950617283950635,0.20896391152502913,3.15,1.0,0.0
70,0.4074074074074119,0.14086146682188594,3.183333333333333,1.0,0.0
71,0.4074074074074119,0.440046565774156,3.216666666666667,0.0,1.0
72,0.4197530864197603,0.16530849825378346,3.2666666666666666,1.0,0.0
73,0.4197530864197603,0.11699650756693836,3.3,1.0,0.0
74,0.4197530864197603,0.24679860302677536,3.3333333333333335,1.0,0.0
75,0.4074074074074119,0.25203725261932486,3.3666666666666667,1.0,0.0
76,0.3950617283950635,0.1228172293364378,3.4,1.0,0.0
77,0.3950617283950635,0.17054714784633296,3.433333333333333,1.0,0.0
78,0.3950617283950635,0.1670547147846333,3.466666666666667,1.0,0.0
79,0.3950617283950635,0.13387660069848661,0.0,1.0,0.0
80,0.3950617283950635,0.1362048894062864,0.03333333333333333,1.0,0.0
81,0.3827160493827222,0.16123399301513397,0.06666666666666667,0.0,0.0
82,0.3950617283950635,0.1641443538998837,0.15,1.0,0.0
83,0.3950617283950635,0.1658905704307334,0.18333333333333332,1.0,0.0
84,0.4074074074074119,0.1752037252619325,0.21666666666666667,1.0,0.0
85,0.3950617283950635,0.14784633294528526,0.25,1.0,0.0
86,0.4074074074074119,0.370197904540163,0.2833333333333333,0.0,1.0
87,0.4074074074074119,0.15599534342258448,0.3333333333333333,0.0,0.0
88,0.4074074074074119,0.21885913853317818,0.4166666666666667,1.0,0.0
89,0.4074074074074119,0.14610011641443543,0.45,0.0,1.0
90,0.3950617283950635,0.1856810244470315,0.5,0.0,1.0
91,0.3950617283950635,0.340512223515716,0.55,1.0,0.0
92,0.3950617283950635,0.38533178114086153,0.5833333333333334,1.0,0.0
93,0.3950617283950635,0.32537834691501744,0.6166666666666667,0.0,1.0
94,0.4074074074074119,0.1641443538998837,0.6666666666666666,1.0,0.0
95,0.3950617283950635,0.26426076833527357,0.7,1.0,0.0
96,0.4074074074074119,0.10651920838183937,0.7333333333333333,0.0,1.0
